Analytes	Cluster	Degree
N6-acetyllysine	2	888
2-pyrrolidinone	2	881
"N6,N6-dimethyllysine"	2	878
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"	2	876
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*	0	874
Diastolik kan basıncı	1	873
indolin-2-one	2	872
N-palmitoyl-sphingosine (d18:1/16:0)	1	864
indolelactate	2	861
creatinine	2	849
linoleoylcholine*	1	847
octadecanedioate (C18-DC)	1	845
N-acetylputrescine	2	843
2-hydroxynervonate*	1	828
"5,6-dihydrouridine"	2	827
quinolinate	2	825
carotene diol (3)	1	825
"2S,3R-dihydroxybutyrate"	2	821
carotene diol (2)	1	820
5-methyluridine (ribothymidine)	1	818
eicosapentaenoylcholine	1	817
oleoylcholine	1	816
pioglitazone	1	812
ketopioglitazone	1	812
hydroxypioglitazone (M-IV)	1	812
carnosine	0	809
orotate	2	805
diazepam	1	801
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	1	792
isobutyrylglycine	0	788
2-butenoylglycine	1	783
"sphingomyelin (d18:2/24:1, d18:1/24:2)*"	1	781
fumarate	0	773
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	1	769
sphingosine 1-phosphate	2	766
(14 or 15)-methylpalmitate (a17:0 or i17:0)	1	766
N1-methylinosine	0	764
methylsuccinoylcarnitine	1	754
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	1	754
Creatinine	0	752
myo-inositol	2	748
3-hydroxydodecanedioate*	1	748
erythritol	2	745
10-nonadecenoate (19:1n9)	1	742
O-sulfo-L-tyrosine	2	737
1-cerotoyl-GPC (26:0)*	1	737
palmitoloelycholine	1	736
choline	2	732
lansoprazole	1	725
methyl vanillate sulfate	2	724
(N(1) + N(8))-acetylspermidine	0	723
branched chain 14:0 dicarboxylic acid**	0	715
benzoate	1	714
dimethylarginine (SDMA + ADMA)	1	714
metformin	0	714
tiglylcarnitine (C5:1-DC)	2	705
1-ribosyl-imidazoleacetate*	0	701
gluconate	2	697
N-oleoyltaurine	1	697
adenine	1	693
sphingosine	2	691
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*	1	689
spermine	1	688
erythronate*	2	686
gamma-glutamyl-2-aminobutyrate	1	685
1-methylhistidine	2	683
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*	1	681
maltose	0	674
gulonate*	2	673
1-methylguanidine	1	672
7-hydroxyindole sulfate	2	671
hydroxyasparagine**	2	670
N-acetyl-2-aminoadipate	1	670
3-hydroxysebacate	1	657
myristate (14:0)	1	655
gamma-glutamylphenylalanine	2	644
5-hydroxy-6-methoxy duloxetine sulfate*	1	644
sphinganine	1	642
"2,3-dihydroxyisovalerate"	0	642
4-hydroxy duloxetine glucuronide*	1	641
dopamine 3-O-sulfate	2	637
"ceramide (d16:1/24:1, d18:1/22:1)*"	1	629
kynurenine	2	627
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	1	622
atenolol	1	620
eicosenoylcarnitine (C20:1)*	1	620
(12 or 13)-methylmyristate (a15:0 or i15:0)	1	619
dexlansoprazole	1	618
acisoga	2	615
4-hydroxyphenylacetylglutamine	2	615
"ceramide (d18:2/24:1, d18:1/24:2)*"	1	610
arabitol/xylitol	2	608
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*	1	608
pantoate	0	607
gabapentin	1	603
"adenosine 3',5'-cyclic monophosphate (cAMP)"	2	602
gamma-glutamylisoleucine*	2	602
dopamine 4-sulfate	0	602
serotonin	0	601
daidzein sulfate (2)	1	600
"5,6-dihydrothymine"	0	596
alpha-CMBHC glucuronide	2	596
sphinganine-1-phosphate	0	595
chlorthalidone	1	594
nateglinide	1	594
phenylpyruvate	0	592
glycerol 3-phosphate	1	592
1-carboxyethylphenylalanine	0	589
gamma-glutamylmethionine	2	588
2-aminoadipate	1	585
glutamine conjugate of C6H10O2 (1)*	1	581
"hydroxy-N6,N6,N6-trimethyllysine*"	1	581
3-methylcrotonylglycine	1	579
mannonate*	2	579
5-hydroxyindole sulfate	2	577
10-undecenoate (11:1n1)	1	574
1-carboxyethylisoleucine	0	574
3-hydroxy-3-methylglutarate	0	572
citrulline	1	571
estrone 3-sulfate	1	571
dodecenedioate (C12:1-DC)*	2	571
pyridoxate	2	570
1-carboxyethyltyrosine	0	569
1-carboxyethylleucine	0	568
4-acetylphenol sulfate	0	566
N-acetylarginine	1	564
maltotriose	0	556
N-acetylphenylalanine	2	556
cetirizine	1	554
De(carboxymethoxy) cetirizine acetic acid	1	554
N-acetylleucine	2	553
"N,N,N-trimethyl-alanylproline betaine (TMAP)"	2	553
1-stearoyl-GPG (18:0)	1	552
cholesterol sulfate	0	551
pantoprazole	1	551
4-guanidinobutanoate	0	549
2-acetamidophenol sulfate	2	549
3-hydroxyhexanoate	2	549
saccharin	1	548
gamma-glutamylvaline	2	548
alpha-ketoglutaramate*	2	548
allantoin	1	546
mannitol/sorbitol	0	545
phytanate	1	544
guaiacol sulfate	2	543
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*	1	543
gamma-glutamylleucine	2	542
1-hydroxy-2-naphthalenecarboxylate	1	542
succinimide	0	541
hexanoylglycine	1	540
5-methylthioadenosine (MTA)	2	539
N1-methyladenosine	2	539
1-carboxyethylvaline	0	538
N-(2-furoyl)glycine	0	536
eicosenoate (20:1)	1	536
ferulic acid 4-sulfate	0	536
inosine 5'-monophosphate (IMP)	1	534
lactose	0	534
proline	0	534
1-palmitoyl-GPG (16:0)*	1	530
asparagine	1	529
glutamine_degradant*	0	526
N-acetylcarnosine	0	526
gamma-glutamyltryptophan	1	525
N-acetylisoleucine	2	524
5-(galactosylhydroxy)-L-lysine	2	523
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	1	520
5-hydroxyindoleacetate	2	519
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	1	518
alanine	2	517
hydantoin-5-propionate	0	517
N-stearoyl-sphingadienine (d18:2/18:0)*	1	516
11beta-hydroxyandrosterone glucuronide	0	516
2-hydroxysebacate	0	515
1-methyl-4-imidazoleacetate	2	514
glucose	0	512
cytosine	2	512
lyxonate	2	511
4-vinylguaiacol sulfate	0	510
decanoylcarnitine (C10)	1	509
1-oleoyl-GPE (18:1)	0	507
N-palmitoylglycine	1	507
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	2	506
vanillic acid glycine	0	506
2-isopropylmalate	0	505
(R)-3-hydroxybutyrylcarnitine	0	505
glucuronide of C12H22O4 (1)*	0	505
azelate (C9-DC)	0	503
3-hydroxy-2-methylpyridine sulfate	0	503
"sphingomyelin (d18:1/24:1, d18:2/24:0)*"	1	502
picolinoylglycine	2	502
isoleucine	2	500
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	1	500
tetrahydrocortisol glucuronide	1	500
sucrose	0	499
N-acetylproline	0	499
palmitoylcarnitine (C16)	1	498
tryptophan betaine	0	497
formiminoglutamate	0	497
warfarin	1	497
10-hydroxywarfarin	1	497
7-hydroxywarfarin	1	497
6-hydroxywarfarin	1	497
N-acetyltryptophan	2	496
kynurenate	2	495
gamma-glutamyl-alpha-lysine	1	494
2-hydroxypalmitate	1	493
1-palmitoleoylglycerol (16:1)*	1	493
glucuronide of C14H26O4 (1)*	0	493
N2-methylguanosine	1	492
5-oxoproline	1	489
phenylalanine	2	488
glycolithocholate	0	488
ascorbic acid 2-sulfate	0	487
"2,6-dihydroxybenzoic acid"	0	487
gamma-glutamyltyrosine	2	486
urate	2	486
oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	1	486
Nimesulide	1	484
N-acetyltyrosine	2	483
pseudoephedrine	1	482
gamma-glutamylhistidine	2	481
3-hydroxylaurate	1	481
2-methoxyhydroquinone sulfate (1)	0	480
"bilirubin degradation product, C16H18N2O5 (1)**"	1	479
1-oleoyl-GPG (18:1)*	2	478
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	0	477
levetiracetam	1	477
phenyllactate (PLA)	0	476
hydroquinone sulfate	2	476
N-stearoyltaurine	1	476
maltol sulfate	0	476
N6-methyladenosine	1	475
vanillic alcohol sulfate	0	474
ximenoylcarnitine (C26:1)*	1	474
N-formylanthranilic acid	2	473
"N6,N6,N6-trimethyllysine"	2	472
betaine	0	472
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	1	470
N-octanoylglycine	1	470
"1,2-dilinoleoyl-GPE (18:2/18:2)*"	0	469
N-acetylglucosaminylasparagine	2	468
phenol sulfate	2	467
(S)-3-hydroxybutyrylcarnitine	0	467
glycerophosphoglycerol	0	466
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	1	466
dihydroorotate	1	465
pyrraline	0	465
glutamine conjugate of C6H10O2 (2)*	1	465
2-methoxyhydroquinone sulfate (2)	0	465
deoxycholate	1	464
leucine	2	464
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*	1	464
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*	1	464
furaneol sulfate	0	463
3-hydroxybutyrate (BHBA)	1	462
1-oleoyl-GPS (18:1)	1	462
1-palmitoyl-GPE (16:0)	1	462
desmethylnaproxen	1	461
sulfate*	2	461
fructosyllysine	0	461
N-palmitoyl-sphinganine (d18:0/16:0)	1	461
adenosine 5'-monophosphate (AMP)	0	459
glucuronate	2	459
myristoleate (14:1n5)	1	459
mirtazapine	1	458
5-hydroxy-2-methylpyridine sulfate	0	458
pantothenate	1	457
stearoylcarnitine (C18)	1	457
"bilirubin degradation product, C17H20N2O5 (2)**"	1	455
3-amino-2-piperidone	2	454
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	1	453
arabonate/xylonate	2	451
cysteinylglycine	1	450
sitagliptin	1	450
isobutyrylcarnitine (C4)	0	448
3-formylindole	2	448
theanine	0	447
1-oleoyl-GPI (18:1)	1	447
beta-hydroxyisovalerate	2	446
glycocholenate sulfate*	1	446
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	1	445
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*	1	444
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	0	443
10-heptadecenoate (17:1n7)	1	443
1-stearoyl-GPE (18:0)	1	443
2-methylbutyrylcarnitine (C5)	2	443
3-methoxycatechol sulfate (2)	0	443
maleate	1	442
1-arachidonoyl-GPE (20:4n6)*	1	442
prolylglycine	2	442
adrenoylcarnitine (C22:4)*	1	442
"bilirubin degradation product, C17H20N2O5 (1)**"	1	442
3-phosphoglycerate	0	441
imidazole lactate	1	441
docosapentaenoate (n3 DPA; 22:5n3)	1	441
1-palmitoleoyl-GPC (16:1)*	1	441
1-linoleoyl-GPE (18:2)*	2	441
gamma-glutamylthreonine	1	440
Triglycerides	1	439
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	1	439
oleoylcarnitine (C18:1)	1	439
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	1	439
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	1	439
dimethylglycine	0	438
behenoyl dihydrosphingomyelin (d18:0/22:0)*	1	438
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	1	438
docosahexaenoylcarnitine (C22:6)*	1	438
N-stearoyl-sphinganine (d18:0/18:0)*	1	437
3-indoleglyoxylic acid	1	437
3-hydroxyoctanoylcarnitine (2)	1	437
homovanillate (HVA)	1	436
docosahexaenoate (DHA; 22:6n3)	1	436
5-dodecenoate (12:1n7)	1	436
succinylcarnitine (C4-DC)	2	436
valine	2	435
3-hydroxypyridine sulfate	0	435
cortolone glucuronide (1)	1	435
1-palmitoyl-GPI (16:0)	1	434
cystine	1	433
methionine sulfoxide	0	432
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"	1	431
4-hydroxyphenylpyruvate	0	430
Insulin	1	429
ribitol	0	429
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*	1	429
argininate*	0	427
phenol glucuronide	1	427
ethyl alpha-glucopyranoside	0	427
sebacate (C10-DC)	2	426
1-palmitoyl-GPC (16:0)	1	426
tryptophan	1	424
pipecolate	0	424
glycodeoxycholate	0	424
trigonelline (N'-methylnicotinate)	2	424
pentose acid*	0	424
4-methoxyphenol sulfate	2	423
palmitoleoylcarnitine (C16:1)*	1	423
tetrahydrocortisone glucuronide (5)	1	423
eicosapentaenoate (EPA; 20:5n3)	1	422
7-methylguanine	1	422
"sphingomyelin (d18:1/20:1, d18:2/20:0)*"	1	422
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	0	422
isovalerylcarnitine (C5)	2	421
1-methylurate	2	421
2-hydroxystearate	1	420
glycochenodeoxycholate	0	420
N-acetyl-beta-alanine	2	420
2-aminophenol sulfate	2	420
palmitoleate (16:1n7)	1	419
1-linolenoyl-GPC (18:3)*	1	419
9-hydroxystearate	1	419
dihydroferulic acid sulfate	2	419
glutamate	0	418
"bilirubin degradation product, C17H18N2O4 (3)**"	1	418
"bilirubin degradation product, C16H18N2O5 (3)**"	1	418
2-hydroxyphenylacetate	2	417
2-palmitoyl-GPC (16:0)*	1	417
caffeic acid sulfate	0	417
N2-acetyllysine	1	416
17alpha-hydroxypregnanolone glucuronide	0	416
3-(4-hydroxyphenyl)lactate	0	415
3-hydroxymyristate	1	415
6-oxopiperidine-2-carboxylate	2	414
tyrosine	2	413
1-myristoylglycerol (14:0)	2	413
4-hydroxyglutamate	1	413
etiocholanolone glucuronide	1	413
3beta-hydroxy-5-cholestenoate	1	412
aspartate	0	411
cysteinylglycine disulfide*	2	411
myristoylcarnitine (C14)	1	410
docosapentaenoate (n6 DPA; 22:5n6)	1	410
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*	1	410
N-oleoylserine	1	410
2-hydroxyarachidate*	0	410
olmesartan	1	409
2-hydroxyhippurate (salicylurate)	0	408
retinol (Vitamin A)	1	407
"2R,3R-dihydroxybutyrate"	2	407
carboxyethyl-GABA	0	407
inosine	0	406
caprate (10:0)	1	406
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"	1	406
(16 or 17)-methylstearate (a19:0 or i19:0)	1	405
cysteine s-sulfate	0	404
I-urobilinogen	1	404
2-hydroxy-3-methylvalerate	0	403
3-methoxytyramine sulfate	1	403
nonadecanoate (19:0)	1	402
"12,13-DiHOME"	0	401
caproate (6:0)	1	401
1-oleoylglycerol (18:1)	1	401
glycocholate	0	400
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	1	400
pyruvate	0	399
adrenate (22:4n6)	1	399
N-acetyl-1-methylhistidine*	2	399
N-stearoyl-sphingosine (d18:1/18:0)*	1	398
maltotetraose	0	398
1-linoleoyl-GPG (18:2)*	1	398
1-stearoyl-GPC (18:0)	1	397
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"	1	397
4-acetylcatechol sulfate (1)	0	397
lactate	0	396
xanthurenate	1	396
oleate/vaccenate (18:1)	1	396
S-1-pyrroline-5-carboxylate	0	395
stearate (18:0)	1	395
methionine sulfone	1	393
2-ethylphenylsulfate	2	392
taurochenodeoxycholic acid 3-sulfate	0	392
"bilirubin degradation product, C17H18N2O4 (2)**"	1	392
propionylcarnitine (C3)	0	391
"sphingomyelin (d18:2/14:0, d18:1/14:1)*"	1	391
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	1	390
myristoyl dihydrosphingomyelin (d18:0/14:0)*	1	390
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	1	390
ribonate	2	389
"5alpha-androstan-3beta,17beta-diol monosulfate (1)"	0	389
3-methyl catechol sulfate (1)	2	389
laurate (12:0)	1	388
homostachydrine*	0	388
glycochenodeoxycholate glucuronide (1)	1	388
1-(1-enyl-stearoyl)-GPE (P-18:0)*	1	386
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*"	1	386
eugenol sulfate	0	385
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	1	384
"1,7-dimethylurate"	2	384
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	1	384
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*"	1	384
"sphingomyelin (d18:0/20:0, d16:0/22:0)*"	1	383
"bilirubin degradation product, C16H18N2O5 (2)**"	1	383
methionine	2	382
margarate (17:0)	1	382
glycerophosphoethanolamine	1	382
glycerophosphoinositol*	1	382
2-hydroxybehenate	1	382
1-oleoyl-GPC (18:1)	1	381
m-tyramine sulfate	0	381
2-palmitoleoyl-GPC (16:1)*	1	380
hexanoylglutamine	1	380
"sphingomyelin (d18:0/18:0, d19:0/17:0)*"	1	380
3-methylglutarylcarnitine (2)	1	379
tetradecadienoate (14:2)*	1	379
4-hydroxyhippurate	2	378
1-arachidonoyl-GPI (20:4)*	1	378
4-ethylphenylsulfate	0	378
"sphingomyelin (d18:2/21:0, d16:2/23:0)*"	1	378
4-hydroxyphenylacetate	2	376
cholesterol	1	376
dihomo-linolenate (20:3n3 or n6)	1	376
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	2	376
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*"	1	376
cystathionine	2	375
1-(1-enyl-oleoyl)-GPE (P-18:1)*	1	375
heneicosapentaenoate (21:5n3)	1	375
arachidonate (20:4n6)	1	374
dihomo-linoleate (20:2n6)	1	374
1-linoleoyl-GPI (18:2)*	1	374
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	1	374
dodecadienoate (12:2)*	1	374
lysine	1	373
docosadienoate (22:2n6)	1	373
5-acetylamino-6-amino-3-methyluracil	2	373
margaroylcarnitine (C17)*	1	373
glutamine	1	372
"1,2-dipalmitoyl-GPE (16:0/16:0)*"	2	372
N-acetyltheanine	0	372
3-indoxyl sulfate	1	371
linolenate [alpha or gamma; (18:3n3 or 6)]	1	371
malonate	0	370
"glutamate, gamma-methyl ester"	1	370
nervonoylcarnitine (C24:1)*	1	370
"N,N,N-trimethyl-5-aminovalerate"	0	370
S-carboxyethylcysteine	2	370
stearidonate (18:4n3)	1	369
lamotrigine	1	369
undecenoylcarnitine (C11:1)	1	369
cortisone	0	368
3-methyl-2-oxovalerate	2	368
2-O-methylascorbic acid	2	368
octanoylcarnitine (C8)	1	367
"bilirubin (E,Z or Z,E)*"	1	367
"sphingomyelin (d18:2/16:0, d18:1/16:1)*"	1	367
palmitate (16:0)	1	366
N-stearoylserine*	1	366
behenoyl sphingomyelin (d18:1/22:0)*	1	365
chenodeoxycholic acid sulfate (1)	2	365
glutarylcarnitine (C5-DC)	1	364
1-methyl-5-imidazoleacetate	2	364
hexadecadienoate (16:2n6)	1	364
uridine	1	363
naproxen	1	363
N-acetylcitrulline	2	363
desmethylnaproxen sulfate	1	363
alpha-CEHC sulfate	2	363
laurylcarnitine (C12)	1	362
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*"	1	361
catechol sulfate	2	360
tricosanoyl sphingomyelin (d18:1/23:0)*	1	360
sphingomyelin (d18:2/18:1)*	1	359
octadecenedioate (C18:1-DC)	2	359
"5alpha-androstan-3beta,17alpha-diol disulfate"	0	358
alpha-tocopherol	1	357
glycosyl-N-tricosanoyl-sphingadienine (d18:2/23:0)*	1	357
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	1	356
"1,3,7-trimethylurate"	2	355
indolebutyrate	0	355
androsterone glucuronide	1	355
N-methylpipecolate	1	355
"5alpha-androstan-3beta,17beta-diol disulfate"	2	354
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	1	354
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	2	354
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	1	353
N-acetylkynurenine (2)	2	353
LDL	1	352
linoleate (18:2n6)	1	352
glycolithocholate sulfate*	0	352
tetrahydrocortisol sulfate (1)	0	352
oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	1	351
perfluorooctanoate (PFOA)	1	351
3-hydroxybutyroylglycine**	1	351
ornithine	2	350
2-hydroxyoctanoate	0	350
"5alpha-androstan-3alpha,17beta-diol disulfate"	0	350
stearoyl ethanolamide	1	350
"sphingomyelin (d17:1/14:0, d16:1/15:0)*"	1	350
2-aminobutyrate	1	349
cerotoylcarnitine (C26)*	1	349
cytidine	2	347
"1,3-dimethylurate"	2	347
dimethylguanidino valeric acid (DMGV)*	2	347
lignoceroyl sphingomyelin (d18:1/24:0)	1	346
8-methoxykynurenate	1	346
fructose	0	345
quinate	2	345
"2,4-dichlorophenol sulfate"	1	345
"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*"	1	345
4-methyl-2-oxopentanoate	1	344
1-dihomo-linolenylglycerol (20:3)	1	344
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	1	344
sphingomyelin (d18:2/23:1)*	1	344
"sphingomyelin (d17:2/16:0, d18:2/15:0)*"	1	344
citalopram N-oxide*	1	344
N-acetyl-isoputreanine	0	343
2-methoxyresorcinol sulfate	0	342
1-linoleoyl-GPA (18:2)*	1	342
"sphingomyelin (d18:1/19:0, d19:1/18:0)*"	1	342
indapamide	1	342
3-hydroxyoctanoylcarnitine (1)	1	342
metoprolol	1	341
hexanoylcarnitine (C6)	1	341
pregnanediol-3-glucuronide	1	341
glycodeoxycholate glucuronide (1)	1	341
taurochenodeoxycholate	0	340
"sphingomyelin (d18:1/20:0, d16:1/22:0)*"	1	340
3-hydroxyoleoylcarnitine	1	340
glycerophosphorylcholine (GPC)	1	339
tauro-beta-muricholate	0	339
6-bromotryptophan	1	338
cyclo(leu-pro)	1	337
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	1	337
myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*	1	337
lignoceroylcarnitine (C24)*	1	337
thyroxine	1	336
stearoyl sphingomyelin (d18:1/18:0)	1	336
homoarginine	2	336
indolepropionate	0	336
2-hydroxydecanoate	0	336
biliverdin	1	335
gamma-glutamylglutamate	2	335
N-acetylalliin	1	335
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	1	335
"3,5-dichloro-2,6-dihydroxybenzoic acid"	1	335
"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	1	334
tyramine O-sulfate	0	334
3-methoxycatechol sulfate (1)	2	334
donepezil	1	334
alpha-ketobutyrate	0	333
2-methylcitrate/homocitrate	0	333
3-hydroxyhexanoylcarnitine (1)	2	332
CDR	1	331
S-methylmethionine	0	331
2-aminoheptanoate	0	331
6-hydroxyindole sulfate	1	331
pentadecanoate (15:0)	1	330
xanthine	1	330
1-palmitoylglycerol (16:0)	0	330
pro-hydroxy-pro	1	330
4-allylphenol sulfate	2	330
"sphingomyelin (d18:1/18:1, d18:2/18:0)"	1	330
suberoylcarnitine (C8-DC)	1	330
hexadecanedioate (C16-DC)	1	329
3-ethylcatechol sulfate (1)	2	329
4-ethyl-2-methoxyphenol sulfate	2	329
5-hydroxylysine	1	328
spermidine	1	327
caffeine	1	327
palmitoyl ethanolamide	1	327
citramalate	2	327
4-methylguaiacol sulfate	2	327
myristoleoylcarnitine (C14:1)*	1	326
"bilirubin degradation product, C17H18N2O4 (1)**"	1	326
flavin adenine dinucleotide (FAD)	1	325
1-stearoyl-GPI (18:0)	1	325
"5alpha-pregnan-3beta-ol,20-one sulfate"	1	325
valylleucine	1	325
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"	0	325
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	1	325
"(2,4 or 2,5)-dimethylphenol sulfate"	0	325
tetradecanedioate (C14-DC)	1	324
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	1	324
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*	1	324
linolenoylcarnitine (C18:3)*	1	324
3-hydroxyisobutyrate	1	323
ethylmalonate	1	323
4-hydroxyphenylacetoylcarnitine	0	323
dihydrocaffeate sulfate (2)	2	323
chenodeoxycholate	1	322
imidazole propionate	2	321
2-hydroxybutyrate/2-hydroxyisobutyrate	1	321
hexadecenedioate (C16:1-DC)*	1	321
N-delta-acetylornithine	1	320
glycochenodeoxycholate 3-sulfate	0	320
5-dodecenoylcarnitine (C12:1)	1	320
pregnenediol disulfate (C21H34O8S2)*	0	319
1-arachidonoyl-GPC (20:4n6)*	1	318
"2,4-di-tert-butylphenol"	1	317
salicylate	0	316
caprylate (8:0)	1	316
4-vinylphenol sulfate	0	314
"5alpha-androstan-3alpha,17alpha-diol disulfate"	0	314
methylnaphthyl sulfate (2)*	0	314
1-lignoceroyl-GPC (24:0)	1	313
N-acetyltaurine	2	313
pregnanolone/allopregnanolone sulfate	2	313
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	1	313
arginine	1	312
picolinate	1	312
phosphoethanolamine	0	312
ascorbic acid 3-sulfate*	0	312
acetylcarnitine (C2)	1	311
sphingadienine	1	311
hypoxanthine	2	310
(2 or 3)-decenoate (10:1n7 or n8)	1	310
perfluorohexanesulfonate (PFHxS)	1	310
oleoyl ethanolamide	1	309
gentisate	0	309
3-methyl-2-oxobutyrate	1	309
N-carbamoylalanine	1	309
2-hydroxyfluorene sulfate	0	309
lithocholate sulfate (1)	0	309
tetradecadienedioate (C14:2-DC)*	1	309
adipoylcarnitine (C6-DC)	2	308
3b-hydroxy-5-cholenoic acid	1	307
4-vinylcatechol sulfate	2	307
"bilirubin degradation product, C16H18N2O5 (4)**"	1	307
beta-alanine	0	306
gamma-tocopherol/beta-tocopherol	1	306
dihydroferulate	0	305
isovalerate (i5:0)	2	304
N-alpha-acetylornithine	0	303
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	1	303
"5alpha-androstan-3alpha,17beta-diol 17-glucuronide"	0	303
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	1	303
4-ethylcatechol sulfate	2	302
N-desalkylquetiapine*	1	302
"9,10-DiHOME"	0	301
threonate	0	301
galactonate	0	301
metoprolol acid metabolite*	1	301
pregnenolone sulfate	0	301
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	1	300
alpha-hydroxymetoprolol	1	299
S-allylcysteine	1	298
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	0	297
N4-acetylcytidine	1	296
"2,8-quinolinediol sulfate"	1	296
2'-deoxyuridine	1	295
omeprazole	1	295
beta-cryptoxanthin	1	294
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	1	294
EDTA	1	293
1-palmitoyl-GPA (16:0)	1	293
2-stearoyl-GPE (18:0)*	1	293
dihomo-linoleoylcarnitine (C20:2)*	1	293
Fibrinopeptide A (2-15)**	1	293
Total cholesterol	1	292
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*	1	292
fluoxetine	1	291
norfluoxetine	1	291
umbelliferone sulfate	0	291
butyrate/isobutyrate (4:0)	2	290
gamma-glutamylglycine	1	288
1-linoleoyl-GPC (18:2)	1	288
cis-4-decenoate (10:1n6)*	1	288
"1,2,3-benzenetriol sulfate (2)"	2	288
4-hydroxychlorothalonil	0	287
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	1	287
perfluorooctanesulfonate (PFOS)	1	286
Uric Acid	0	284
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	1	283
"5alpha-androstan-3alpha,17alpha-diol monosulfate"	2	283
4-allylcatechol sulfate	0	283
pyridoxal	1	282
taurocholate	0	282
lithocholic acid sulfate (2)	0	282
Sistolik Kan Basıncı	1	281
1-methylxanthine	2	281
taurolithocholate 3-sulfate	1	281
behenoylcarnitine (C22)*	1	281
1-methyl-5-imidazolelactate	2	281
2-oleoylglycerol (18:1)	1	280
N6-carboxymethyllysine	2	280
